element,sp_num,obs_wl_air(A),intens,Aki(s^-1),Acc,Type,
Na,1,4751.8218,2,1.23e+06,B,,
K,1,4753.934,5,1.6e+05,D+,,
K,1,4757.389,7,1.2e+05,C,,
K,1,4786.491,5,1.03e+05,C,,
K,1,4791.049,7,1.3e+05,C,,
K,1,4799.754,6,2.07e+05,C,,
Ca,2,4799.97,40,,,,
K,1,4804.348,8,1.6e+05,C,,
K,1,4849.865,7,1.871e+05,A+,,
K,1,4856.090,8,2.10e+05,A,,
K,1,4863.483,8,3.698e+05,AA,,
K,1,4869.757,9,2.61e+05,A,,
Ca,1,4878.13,25,1.88e+07,C,,
K,1,4942.002,8bl,2.69e+05,AA,,
K,1,4950.815,9,2.69e+05,B+,,
K,1,4956.1461,9,5.322e+05,AA,,
K,1,4965.031,10,3.36e+05,A,,
Na,1,4975.3,,,,,
Na,1,4978.5414,1,4.09e+06,A,,
Na,1,4982.8134,2,4.88e+06,A,,
Ca,2,5001.48,70,2.0e+07,D,,
Na,1,5019.8,,,,,
Ca,2,5019.97,80,2.3e+07,D,,
Ca,2,5021.14,40,3.9e+06,D,,
Ca,1,5041.62,23,3.3e+07,D,,
Na,1,5049.4,,,,,
Na,1,5071.2,270,4.1e+07,D,,
K,1,5084.226,10,4.074e+05,AA,,
K,1,5097.171,11,3.39e+05,B+,,
K,1,5099.200,11,8.064e+05,A+,,
Na,1,5109.6,,,,,
K,1,5112.249,12,4.22e+05,B+,,
Na,1,5148.8381,1,1.14e+06,B+,,
Na,1,5153.4024,2,2.27e+06,B+,,
Na,1,5162.5,83,1.5e+07,D,,
Ca,1,5188.85,25,4.0e+07,D,,
Na,1,5256.4,7,2.e+06,D,,
Ca,1,5261.71,22,1.5e+07,D,,
Ca,1,5262.24,23,6.0e+07,D,,
Ca,1,5264.24,22,9.1e+06,D,,
Ca,1,5265.56,24,4.4e+07,D,,
Ca,1,5270.27,25,5.0e+07,D,,
Ca,2,5285.27,60,7.8e+06,D,,
Ca,2,5307.22,70,1.5e+07,D,,
K,1,5323.276,12,6.62e+05,A+,,
Ca,2,5339.19,50,,,,
K,1,5339.688,13,1.311e+06,AA,,
K,1,5342.970,12,3.86e+05,A,,
Ca,1,5349.47,27,,,,
K,1,5359.574,14,4.86e+05,A,,
Na,1,5411.0,,,,,
Na,1,5451.9,,,,,
Na,1,5466.4,,,,,
Ca,1,5512.98,23,1.1e+08,E,,
Na,1,5569.9,,,,,
Ca,1,5581.97,25,6.0e+06,D,,
Ca,1,5588.76,27,4.9e+07,D,,
Ca,1,5590.12,24,8.3e+06,D,,
Ca,1,5594.47,26,3.8e+07,D,,
Ca,1,5598.49,25,4.3e+07,D,,
Ca,1,5601.29,24,8.6e+06,D,,
Ca,1,5602.85,24,1.4e+07,D,,
Na,1,5621.0,42,1.4e+07,D,,
Na,1,5628.5,,,,,
Na,1,5682.6333,5,1.01e+07,A,,
Na,1,5688.1934,1,2.02e+06,A,,
Na,1,5688.2046,9,1.21e+07,A,,
Na,1,5744.2,12,4.e+06,D,,
K,1,5782.384,16,1.186e+06,AA,,
K,1,5801.752,17,2.348e+06,AA,,
K,1,5812.148,15,2.86e+05,A,,
K,1,5831.887,17,3.71e+05,A,,
Ca,1,5857.45,30,6.6e+07,D,,
Na,1,5889.95095,80000,6.16e+07,AA,,
Na,1,5895.92424,40000,6.14e+07,AA,,
Ca,2,5922.72,10,,,,
Ca,2,5923.69,10,,,,
Ca,1,6102.72,27,9.6e+06,C,,
Ca,1,6122.22,29,2.87e+07,C,,
Na,1,6154.2253,1,2.50e+06,A,,
Na,1,6160.7470,2,4.98e+06,A,,
Ca,1,6161.29,22,3.3e+06,D,,
Ca,1,6162.17,30,4.77e+07,C,,
Ca,1,6163.76,22,5.6e+06,D,,
Ca,1,6166.44,24,2.2e+07,D,,
Ca,1,6169.06,26,1.7e+07,D,,
Ca,1,6169.56,28,1.9e+07,D,,
Ca,1,6439.07,35,5.3e+07,D,,
Ca,1,6449.81,30,9.0e+06,D,,
Ca,1,6455.60,22,1.4e+06,E,,
Ca,2,6456.87,80,,,,
Ca,1,6462.57,34,4.7e+07,D,,
Ca,1,6471.66,29,5.9e+06,D,,
Ca,1,6493.78,32,4.4e+07,D,,
Ca,1,6499.65,28,8.1e+06,D,,
Ca,1,6572.78,23,2.6e+03,D+,,
Ca,1,6717.69,30,1.2e+07,E,,
K,1,6911.084,19,2.500e+06,AA,,
K,1,6936.284,12,1.9e+04,C,,
K,1,6938.767,20,4.956e+06,AA,,
K,1,6964.18,7,2.4e+03,D+,,
K,1,6964.672,12,1.37e+04,D+,,
Ca,1,7148.15,33,,,,
Ca,1,7202.19,31,,,,
Ca,1,7326.15,33,,,,
Na,1,7373.23,2,5.42e+04,B,,
Na,1,7373.49,1,5.30e+04,B,,
