# Observation date	Start [Å]	End [Å]	Center [Å]	Width	Amplitude	Skew	RMSE	FWHM [Å]	EW [Å]
2014-09-28T00:18:26.304000	5781.809064617139	5787.608031549046	[5784.80854808,5784.60854808,5784.60854808]	[0.07749759,0.37692366,0.20856243]	[0.91971587,0.4625446 ,2.        ]	[-1.99999995, 0.13219469, 2.        ]	0.07503462902052457	4.709640090061898	3.00892986907582
2014-09-28T00:18:26.304000	5791.647311963684	5793.766934359484	[5792.77690045,5792.60727317,5792.60712316]	[0.49453174,0.25571834,0.12333637]	[0.13126042,1.02875065,0.19838723]	[0.41976107,0.11238692,1.9999987 ]	0.08849465144566293	2.422522648999171	0.971111944109586
2014-09-28T00:18:26.304000	5813.423432614879	5814.10331149655	[5813.78900952,5813.72146962,5813.753762  ]	[0.48181365,0.37565177,0.40677727]	[0.00559571,0.03432547,0.01399082]	[-0.70621134,-0.36452824,-0.95131825]	0.09542481396438185	0.08083030176691058	0.08192690979041575
2014-09-28T00:18:26.304000	5817.642680968784	5818.482531352025	[5818.16259607,5818.16252685,5817.97314514]	[0.12577165,0.1626062 ,0.79828141]	[0.08492184,0.08520672,0.08313138]	[-0.93421852,-1.08450415, 0.04477645]	0.13974807018433882	0.20064648705655252	0.35106148144977284
2014-09-28T00:18:26.304000	5820.68213949861	5821.32202550489	[5821.10208247,5820.91194559,5821.08987924]	[0.05782346,0.13756306,0.53540314]	[0.18922331,0.07547264,0.05562029]	[-1.99138663, 1.99999911,-0.14079407]	0.30796596877359095	0.44558685250824964	0.22422913085220592
2014-09-28T00:18:26.304000	5843.7980214754525	5845.117786363404	[5844.35790392,5844.35790392,5844.35790392]	[0.43511194,0.19703763,0.2290864 ]	[0.12139974,0.72947974,0.24650516]	[ 0.46190253, 2.        ,-1.1300301 ]	0.14710784324352602	1.7177935172756962	0.7498515441414367
2014-09-28T00:18:26.304000	5922.344028746245	5923.22387200488	[5922.68395038,5922.88395038,5922.81494885]	[0.13745971,0.13547975,0.62260828]	[0.05996009,1.0871085 ,0.05578657]	[ 2.        ,-1.99993587, 0.6620651 ]	0.09980792592039725	2.559944892884078	0.3261513073622123
2014-09-28T00:18:26.304000	5948.699333629877	5949.859127016259	[5949.17923046,5949.24541809]	[0.22722935,0.43774783]	[0.05075959,0.0368416 ]	[ 1.09083156,-1.22575925]	0.6671596973470915	0.11952969278256419	0.14542147530914035
2014-09-28T00:18:26.304000	5973.77486650095	5974.334766756444	[5974.04064549,5974.06559235,5974.15481663]	[0.04680576,0.42981727,0.24190811]	[0.0203623 ,0.01604881,0.1014008 ]	[1.05699158,0.83290142,0.77063015]	0.0790263522190789	0.2387806268697309	0.1337983607129317
2014-09-28T00:18:26.304000	5986.692565252714	5988.372266019199	[5987.58674665,5987.48000059,5987.43241564]	[0.31195345,0.13287038,0.43194251]	[0.06102702,0.13688579,0.47760727]	[ 0.61087483, 1.98536788,-0.28208227]	0.0917886967635439	1.124679174163692	0.8389430546188961
2014-09-28T00:18:26.304000	5995.930919468374	5996.570805474653	[5996.15086247,5996.15086247,5996.21102725]	[0.25292641,0.18131304,0.53188596]	[0.02208788,1.14437595,0.05502775]	[ 1.26238937, 2.        ,-0.94838189]	0.11124651373289599	2.694799428223699	0.2578065391677972
2014-09-28T00:18:26.304000	6019.3867408860515	6020.066619767723	[6019.82668033,6019.62668033,6019.67328836]	[0.46741906,0.12897552,0.45996927]	[0.0878703 ,0.08244164,0.0386565 ]	[-0.48858694, 1.99924758,-0.83747769]	0.16798103761079458	0.2069187425461778	0.31592194382914807
