# Observation date	Center [Å]	Width	Amplitude	Skew	RMSE	FWHM [Å]	EW [Å]
2015-09-20T01:47:39.845000	[6102.17992505,6102.32358637,6102.04108426]	[0.00178027,0.00135217,0.00738082]	[0.01875564,0.04983008,0.09878018]	[-1.03216899, 0.09366181,-0.20032418]	0.0008973960163068188	0.23260955724235122	0.0030481464534516615
2015-09-20T01:47:39.845000	[5973.86500212,5972.7       ,5973.6201373 ]	[0.01052346,0.01086411,0.01114281]	[0.02373957,2.53788846,0.09030151]	[-0.90234903, 0.83476716,-0.02291162]	0.01569538667082115	5.976270619534983	0.12358097744487304
2015-09-20T01:47:39.845000	[6284.10335658,6284.9       ,6283.43662948]	[0.06265818,0.0736338 ,0.10055167]	[0.03393218,4.82128291,0.03506297]	[-0.86046598, 0.63154912, 1.15703471]	0.05259109194145421	11.353253639136193	1.4297906287242803
2015-09-20T01:47:39.845000	[6376.0477946 ,6376.80123349,6375.75084601]	[0.02615774,0.01072568,0.05756525]	[0.14251201,0.19779461,0.09994701]	[-0.00244398, 0.26195952, 0.27891237]	0.002078292022467481	0.4657707198609216	0.04103340322566096
2015-09-20T01:47:39.845000	[5765.44585187,5765.9589976 ,5766.12243293]	[2.35357787e-10,1.02920672e-02,7.34866605e-03]	[0.13242378,0.43897123,0.05794226]	[-1.65383915e+01,-1.37144048e-02, 1.13845330e-01]	0.0022494584904773937	1.033698262174046	0.022497260653042618
2015-09-20T01:47:39.845000	[6166.20647143,6165.20002446,6166.85385107]	[0.00154016,0.00109643,0.0110071 ]	[1.16269450e-03,7.03171388e+00,3.08895037e+00]	[-0.22988219,-3.00574393, 0.05562491]	0.003818889726737166	16.55842078592596	0.3029467295645595
2015-09-20T01:47:39.845000	[6455.49355074,6455.18157013,6456.22704597]	[0.00561706,0.00570553,0.00610879]	[0.08367972,0.00244568,0.30968021]	[-0.185251  ,-0.97604666, 0.70825023]	0.0021620832044744577	0.7292411732510513	0.009153949817348793
2015-09-20T01:47:39.845000	[6035.51438162]	[0.00863694]	[0.00043802]	[0.91837988]	0.03414483441577703	0.0010314640746517442	0.0
2015-09-20T01:47:39.845000	[5986.13880175,5986.13880172,5986.56462847]	[4.44496009e-02,4.44496016e-02,2.53402694e-06]	[0.09522515,0.09522515,0.03127379]	[28.26006559,28.26006555,-8.84833595]	0.0023305064169078884	0.22423810143124778	0.0013220100245093047
2015-09-20T01:47:39.845000	[5813.2       ,5813.97097592,5814.03072954]	[0.00778964,0.00133946,0.00688898]	[15.22082635, 0.01976758, 0.10548526]	[2.02013244,0.18886751,0.01214327]	0.02690407714193267	35.84230699124746	0.46721528038825044
