# Observation date	Center [Å]	Width	Amplitude	Skew	RMSE	FWHM [Å]	EW [Å]
2016-06-12T06:12:33.957000	[5752.72382897,5753.24233178]	[4.64276618e-08,1.50176457e-16]	[0.1595464 ,0.03698389]	[-10.8869539 , 27.26696267]	0.0007688255909708286	0.37570306540864384	0.002431304685827681
2016-06-12T06:12:33.957000	[6425.14362669,6425.70651366,6425.73412616]	[0.00548801,0.01027897,0.00338469]	[0.03141731,0.26653025,0.01211889]	[1.75055212,0.85527549,0.01774363]	0.00164992319037211	0.6276307821449999	0.013597667078177013
2016-06-12T06:12:33.957000	[5828.6]	[0.1]	[0.1]	[2.]	0.0008363518847512481	0.23548200450309495	0.0
2016-06-12T06:12:33.957000	[6183.7]	[0.00110142]	[10.07273059]	[2.24766619]	0.002330311776155063	23.719467896397305	0.0959272530746842
2016-06-12T06:12:33.957000	[6059.3552307 ,6058.58030105]	[1.77285928e-02,6.35797820e-08]	[0.00304522,0.15524865]	[  1.16462285,-10.61149354]	0.0013142336446557033	0.36558262682362574	0.0014231172064265365
2016-06-12T06:12:33.957000	[5946.96287803,5947.54027827,5947.26359864]	[0.06066815,0.00705311,0.09945688]	[0.04640365,0.07446402,0.0363421 ]	[-1.03494432,-0.68583317, 1.16087284]	0.005601526314366564	0.17534937790789934	0.033756019153012295
2016-06-12T06:12:33.957000	[6203.64197602,6203.25500793,6202.1       ]	[0.00049073,0.00450668,0.01041492]	[0.39744617,0.04483802,0.60053734]	[ 4.23701487,-0.24774165,-0.62786793]	0.0013984155097900518	1.4141573692991143	0.04272375497516122
2016-06-12T06:12:33.957000	[6469.51404743,6468.53565065]	[0.00026767,0.00886986]	[0.55386068,0.01411106]	[-20.39299691, -0.18334202]	0.0025416116852241774	1.3042422300314196	0.00044616887052562895
2016-06-12T06:12:33.957000	[6065.19389658,6065.30948589,6064.99250871]	[7.31100981e-03,5.47182728e-05,8.68811273e-03]	[0.06455822,0.05642185,0.08766994]	[ 0.15172126,-4.1335939 , 0.37550243]	0.0007736797186163125	0.20644692118020846	0.0047474531090864955
2016-06-12T06:12:33.957000	[6449.2]	[0.1]	[0.1]	[2.]	0.007418719885516927	0.23548200450309495	0.0
2016-06-12T06:12:33.957000	[5817.6]	[0.1]	[0.1]	[2.]	0.0007192472643103532	0.23548200450309495	0.0
2016-06-12T06:12:33.957000	[6418.79060612,6418.31506034,6419.9       ]	[0.00165419,0.00353791,0.00413188]	[6.18440432e-02,1.64063086e-01,1.19545475e+02]	[ 0.40620041,-0.02043703,-2.8859759 ]	0.018262128867481544	281.50808194581543	0.9476030014983462
2016-06-12T06:12:33.957000	[6358.5]	[0.1]	[0.1]	[2.]	0.005817471647898817	0.23548200450309495	0.0
2016-06-12T06:12:33.957000	[6101.30000001,6101.79269252]	[7.72002470e-05,4.04969125e-03]	[0.51486788,4.90411714]	[-4.29462969, 1.82405975]	0.005555337040790432	11.548313344399652	0.1652280781719268
2016-06-12T06:12:33.957000	[5974.58006289,5974.7       ]	[1.38772175e-02,1.01217658e-18]	[3.44666022,3.87112573]	[ -0.19911403,-30.65431683]	0.016487368175412694	9.115804458102104	0.2304372626867046
2016-06-12T06:12:33.957000	[6284.89999533,6283.66342812]	[0.06275785,0.04375614]	[4.52958489,0.57538948]	[ 0.6384343 ,-0.07337788]	0.04346881345506747	10.666357287312145	1.2108790533233327
2016-06-12T06:12:33.957000	[6375.98592947,6376.73970012,6375.71698947]	[0.01263822,0.00514445,0.02247232]	[0.10745797,0.18033083,0.10574731]	[-0.02628743, 0.50750191, 0.62644668]	0.0019368162512547438	0.4246466618094797	0.01773136889812787
2016-06-12T06:12:33.957000	[5766.2]	[0.1]	[0.1]	[2.]	0.001761309822062337	0.23548200450309495	0.0
2016-06-12T06:12:33.957000	[6455.40344105,6456.14910946,6454.8       ]	[6.72219239e-03,3.24712409e-03,1.03416693e-16]	[0.27162027,0.10729698,0.12514159]	[-0.3118153 , 0.30769314,27.71164225]	0.02090967568813567	0.6396168498933096	0.01260733648473117
2016-06-12T06:12:33.957000	[6034.6,6036.6]	[8.99598455e-12,1.22856341e-02]	[0.62830296,5.466121  ]	[-17.85187461,  0.25700796]	0.0029140513376095796	12.871731307254505	0.24291157806019892
2016-06-12T06:12:33.957000	[5814.2]	[0.1]	[0.1]	[2.]	0.001526745611849502	0.23548200450309495	0.0
2016-06-12T06:12:33.957000	[6215.68432967,6214.97848567,6216.74594484]	[1.60713816e-02,6.54583885e-05,2.49861117e-03]	[0.00323572,0.28561143,0.36589068]	[ 3.0868905 ,-4.38042776, 0.12356301]	0.0016742768420707672	0.8616067097865255	0.00524079109305494
2016-06-12T06:12:33.957000	[6161.75154244,6161.59271125,6162.2343545 ]	[0.0029523 ,0.01031939,0.05995681]	[0.01908991,0.05765017,0.02283855]	[-0.10060436,-0.26423743,-4.05885196]	0.00071126821278162	0.13575576537414955	0.0023745093024677144
2016-06-12T06:12:33.957000	[6116.92959324,6116.19745739,6116.83338724]	[0.00211611,0.00326983,0.00070304]	[0.02408779,0.32965077,0.00131194]	[-0.11859161,-1.08668087,-2.15157355]	0.0011184197511043042	0.7762682453607348	0.005535015766113597
2016-06-12T06:12:33.957000	[6236.517738  ,6237.05321697,6236.72544359]	[0.00355974,0.0012546 ,0.00206509]	[0.08560698,0.0146684 ,0.01056695]	[ 0.32854622,-0.72706466, 0.47337854]	0.0009638187015257824	0.2015890425896748	0.0012627776806042913
2016-06-12T06:12:33.957000	[6462.70342918,6463.65523579]	[0.06387129,0.04702959]	[0.10160432,0.02494877]	[ 5.95931934,-0.04176672]	0.001267844461341501	0.2392598827211335	0.00415536348060847
2016-06-12T06:12:33.957000	[6250.4754632 ,6250.89504076,6251.02279591]	[0.00646287,0.00057852,0.00162989]	[0.17432854,0.04750664,0.00677676]	[-0.3848748 ,-0.14658052, 0.81235577]	0.0008693605512834719	0.4105123422168021	0.0042021791501322655
2016-06-12T06:12:33.957000	[5785.1]	[0.1]	[0.1]	[2.]	0.0034666178598829513	0.23548200450309495	0.0
2016-06-12T06:12:33.957000	[6411.19999998]	[0.0148766]	[294.186875]	[-0.8291895]	0.04233326000247397	692.7571502312557	7.743771539237494
2016-06-12T06:12:33.957000	[6521.21902948,6520.43166478,6519.6705241 ]	[0.05799881,0.00270039,0.09923109]	[0.11776561,0.00168828,0.04202876]	[-1.55860072, 0.66446201, 0.48164716]	0.002957378760292306	0.27731680934190905	0.015652164759480204
2016-06-12T06:12:33.957000	[6460.38667271,6460.16196025,6461.39995283]	[0.01303337,0.01926499,0.01597478]	[2.04884127e-02,1.92178493e-02,7.89000866e+02]	[-0.09841308,-0.23934242,-3.0093767 ]	0.019843987905074613	1857.9550545923767	1.4288871570925588
2016-06-12T06:12:33.957000	[5821.2]	[0.1]	[0.1]	[2.]	0.001208763238185724	0.23548200450309495	0.0
2016-06-12T06:12:33.957000	[6378.99770084,6379.10303363]	[0.00080681,0.06705064]	[0.08109038,0.17790487]	[-4.62471656, 0.75362176]	0.001640444197704229	0.418933944119558	0.058667490395886424
2016-06-12T06:12:33.957000	[5989.28428438,5989.42055904,5989.47786712]	[0.01361498,0.01752011,0.033781  ]	[0.0016004 ,0.01952505,0.02269443]	[-2.20736346,-0.11571499, 0.62814774]	0.0002709371414730803	0.05344129124496859	0.0042851429723413745
2016-06-12T06:12:33.957000	[6113.45382501,6113.03062253,6112.74635791]	[0.00154117,0.00352   ,0.00963905]	[0.09918562,0.03010437,0.22123788]	[-0.63266288, 0.07127509,-0.57272622]	0.0011339430894415014	0.5209754058339453	0.009400304673671771
2016-06-12T06:12:33.957000	[5771.70050926,5771.99332742,5772.6907353 ]	[0.00024348,0.06443047,0.00455665]	[13.72857653, 0.08079131, 0.04202638]	[-5.7449053 ,15.25409607,-1.60687508]	0.000799178826641158	32.32832719810685	0.0015146897206967174
2016-06-12T06:12:33.957000	[6233.90315248,6233.4486817 ,6233.99094499]	[0.00696236,0.00962362,0.00309266]	[0.03011598,0.24391904,0.03384302]	[ 0.15671442,-1.11080043,-0.47604674]	0.0008544521114845383	0.5743854426571244	0.012937438096203638
2016-06-12T06:12:33.957000	[6413.40672746,6415.09915274,6414.13691849]	[0.00623968,0.0078044 ,0.00029018]	[3.70538677e-01,2.47914727e+01,1.99056275e-02]	[-0.53671564, 0.51879539, 0.86659059]	0.007280736256001489	58.379456975942425	0.330896340269492
2016-06-12T06:12:33.957000	[6293.17169275,6294.19943421,6292.22010726]	[0.1001868 ,0.05959237,0.00328777]	[0.02964783,0.01560185,0.00264966]	[1.56153638,5.46611378,8.89581938]	0.004599352207398063	0.06981531470278775	0.020559900907015986
2016-06-12T06:12:33.957000	[6108.]	[0.1]	[0.1]	[2.]	0.0005448756094571517	0.23548200450309495	0.0
2016-06-12T06:12:33.957000	[6089.41343162,6089.74360675,6089.90478136]	[1.91742201e-02,1.28518730e-02,1.39270659e-05]	[0.12472185,0.06044686,0.02365369]	[-0.58198017,-0.05189535,-5.45336579]	0.0009470204247963495	0.29369750581838844	0.012349942190469768
2016-06-12T06:12:33.957000	[6329.8188082]	[0.01772316]	[0.01802763]	[0.22925261]	0.0018079485523597623	0.04245181733391079	0.0011351630691528011
2016-06-12T06:12:33.957000	[6548.80299663,6549.33229353,6549.56364706]	[0.15860934,0.02544535,0.04350302]	[0.02363027,0.0306067 ,0.04521115]	[-3.51440645e-03,-7.77000746e-01,-1.96314996e+01]	0.008537647016079938	0.10646411527085395	0.013675777108380102
2016-06-12T06:12:33.957000	[6466.79708658,6466.19402426]	[3.45863149e-08,3.92017190e-02]	[0.03278422,0.07439233]	[-12.58678195,  6.95005871]	0.003396017609374145	0.17518055683597594	0.0017309234761754123
2016-06-12T06:12:33.957000	[5910.34943632,5910.42277823,5910.4815468 ]	[0.05355537,0.01366401,0.0126716 ]	[0.02208421,0.02376242,0.01348519]	[-0.03072095, 0.02217826,-0.23895337]	0.0008803851765224425	0.055956232732052726	0.005887746507857067
2016-06-12T06:12:33.957000	[6057.32828492,6057.44620409,6057.17655131]	[0.00185323,0.00094843,0.00326693]	[0.04710992,0.00152757,0.05911238]	[-0.41271724, 0.9174393 , 0.06150333]	0.0011116091820034418	0.13919901344373256	0.0010274240607823096
2016-06-12T06:12:33.957000	[6195.84734282,6195.61283537]	[0.0358937 ,0.05041445]	[0.06087577,0.08352172]	[ 0.24735671,-0.38722741]	0.000664009688748925	0.19667861147027252	0.02352280389877103
2016-06-12T06:12:33.957000	[6211.35528028,6211.96709516]	[6.07394555e-03,3.58932222e-06]	[0.06144857,0.16928631]	[0.499011  ,7.42956216]	0.0008746753384934977	0.39863879083520043	0.0033602132903601924
2016-06-12T06:12:33.957000	[5796.63872312,5796.8247026 ,5796.98572671]	[0.05567578,0.01948746,0.04329804]	[0.08708089,0.072558  ,0.22182741]	[ 0.19067424,-0.84154091, 0.08544663]	0.0017036497050315895	0.5223636326670659	0.057963813128425495
2016-06-12T06:12:33.957000	[6397.09722547,6396.79377358,6396.45341217]	[0.01286988,0.00271496,0.01437725]	[0.32817871,0.00741829,0.16781337]	[-0.2011656 , 0.13997696, 0.25429742]	0.002047050167705045	0.7728018093711383	0.02351009484548171
2016-06-12T06:12:33.957000	[6367.26797401,6367.37989595,6366.93156371]	[0.00738124,0.00213578,0.01347177]	[0.0772186 ,0.00501797,0.09656874]	[ 0.21755394,-0.3624037 ,-0.44505592]	0.0009242177011701265	0.22740200409560235	0.006927790098036319
2016-06-12T06:12:33.957000	[6445.44898937,6445.00068463]	[0.00755282,0.02301676]	[0.05263746,0.085461  ]	[-0.128287  ,-0.03091561]	0.0053477651090089295	0.2012452842722147	0.008430167526754647
2016-06-12T06:12:33.957000	[6384.7728028 ,6384.47646546,6384.94916403]	[0.00258101,0.00262642,0.00438399]	[0.01423722,0.06653695,0.13900033]	[-0.50091798,-0.52715296, 0.50119651]	0.0009525366060257786	0.32732076265610943	0.0031021699246548736
2016-06-12T06:12:33.957000	[5976.42397769,5975.25774602,5975.29669601]	[0.17875117,0.06411689,0.04855253]	[0.03960062,0.01870654,0.05259483]	[-0.22052149,-0.1874756 ,-0.27957908]	0.0018370957626330105	0.12385135928252893	0.013450911743113764
2016-06-12T06:12:33.957000	[5841.69632608]	[4.67210083e-05]	[2.91216267e-06]	[-2.45181754]	0.38162318004694123	6.857619039425396e-06	0.0
2016-06-12T06:12:33.957000	[5945.12466385,5945.42364178,5945.48018197]	[0.00866865,0.03683383,0.03234589]	[0.01251652,0.02148996,0.01726284]	[ 1.51036453, 0.04830561,-0.14894276]	0.0038211407922955605	0.050604994617318266	0.004720598742483999
2016-06-12T06:12:33.957000	[6140.]	[0.1]	[0.1]	[2.]	0.0016039986729975632	0.23548200450309495	0.0
2016-06-12T06:12:33.957000	[6194.7]	[0.1]	[0.1]	[2.]	0.0009826496718636328	0.23548200450309495	0.0
2016-06-12T06:12:33.957000	[5506.05088676,5506.05429311]	[0.00263786,0.00326561]	[0.00214311,0.16633682]	[-0.63900582, 0.61037544]	0.008481145682957578	0.3916932759075623	0.0021787266491277778
2016-06-12T06:12:33.957000	[5404.5]	[0.1]	[0.1]	[2.]	0.007177045292721691	0.23548200450309495	0.0
2016-06-12T06:12:33.957000	[5521.41444888,5521.61970397,5521.29489166]	[0.00169514,0.00603337,0.00086084]	[0.0473873 ,0.00301982,0.04092102]	[-0.09585276, 0.18555978, 0.69371347]	0.003785978363793429	0.1115885689572105	0.0004430463987968823
2016-06-12T06:12:33.957000	[5544.48093135,5545.06190135,5544.67837255]	[0.00838873,0.00941472,0.01143866]	[0.04753626,0.15333337,0.08289171]	[-0.26482918, 0.30733308, 0.19376445]	0.0009808969547790833	0.3610724818173811	0.010130967175934267
2016-06-12T06:12:33.957000	[5504.3       ,5503.03826397,5504.3       ]	[4.94741002e-03,4.18407957e-03,4.70020971e-17]	[1.67902282e+00,4.11357677e-04,1.26452805e+00]	[ -0.65498763, -0.0829207 ,-28.37461017]	0.0034840405463988744	3.9537965817387453	0.08256931827698327
2016-06-12T06:12:33.957000	[5512.57707657,5512.63053636,5512.61828692]	[0.00836432,0.00078567,0.00029208]	[0.05025009,0.09314352,0.14183329]	[-0.15473746,-1.79856285, 4.0452589 ]	0.000694309901548611	0.3339918809020008	0.005105964869851212
